,clust,descr,sic_4
118,0,"Manufacture and processing of other glass, including technical glassware",2319
122,0,Manufacture of ceramic household and ornamental articles,2341
121,0,"Manufacture of bricks, tiles and construction products, in baked clay",2332
120,0,Manufacture of ceramic tiles and flags,2331
124,0,Manufacture of other ceramic products,2349
295,0,Wholesale of china and glassware and cleaning materials,4644
96,0,Manufacture of dyes and pigments,2012
117,0,Shaping and processing of flat glass,2312
479,1,Packaging activities,8292
330,1,Retail sale of audio and video equipment in specialised stores,4743
315,1,Wholesale of other intermediate products,4676
312,1,"Wholesale of wood, construction materials and sanitary equipment",4673
311,1,Wholesale of metals and metal ores,4672
309,1,Wholesale of other machinery and equipment,4669
304,1,Wholesale of machine tools,4662
302,1,Wholesale of electronic and telecommunications equipment and parts,4652
305,1,"Wholesale of mining, construction and civil engineering machinery",4663
272,1,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",4612
227,1,Installation of industrial machinery and equipment,3320
374,1,Other postal and courier activities,5320
226,1,Repair of other equipment,3319
222,1,Repair of electrical equipment,3314
531,1,Repair of communication equipment,9512
532,1,Repair of consumer electronics,9521
533,1,Repair of household appliances and home and garden equipment,9522
373,1,Postal activities under universal service obligation,5310
537,1,Repair of other personal and household goods,9529
274,1,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",4614
129,2,Production of abrasive products,2391
135,2,Precious metals production,2441
139,2,Casting of iron,2451
142,2,Casting of other non-ferrous metals,2454
141,2,Casting of light metals,2453
148,2,Manufacture of weapons and ammunition,2540
138,2,Other non-ferrous metal production,2445
233,2,Trade of gas through mains,3523
140,2,Casting of steel,2452
137,2,Copper production,2444
86,3,Manufacture of paper and paperboard,1712
87,3,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1721
88,3,Manufacture of household and sanitary goods and of toilet requisites,1722
89,3,Manufacture of paper stationery,1723
93,3,Binding and related services,1814
91,3,Other printing,1812
92,3,Pre-press and pre-media services,1813
384,3,Publishing of directories and mailing lists,5812
90,3,Manufacture of other articles of paper and paperboard n.e.c.,1729
82,4,Manufacture of veneer sheets and wood-based panels,1621
81,4,Sawmilling and planing of wood,1610
83,4,Manufacture of other builders' carpentry and joinery,1623
207,4,Manufacture of office and shop furniture,3101
208,4,Manufacture of kitchen furniture,3102
209,4,Manufacture of mattresses,3103
85,4,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting",1629
210,4,Manufacture of other furniture,3109
535,4,Repair of furniture and home furnishings,9524
84,4,Manufacture of wooden containers,1624
447,5,"Other professional, scientific and technical activities n.e.c.",7490
408,5,Other information service activities n.e.c.,6399
405,5,"Data processing, hosting and related activities",6311
511,5,Artistic creation,9003
510,5,Support activities to performing arts,9002
407,5,News agency activities,6391
435,5,Architectural activities,7111
444,5,Specialised design activities,7410
445,5,Photographic activities,7420
446,5,Translation and interpretation activities,7430
509,5,Performing arts,9001
406,5,Web portals,6312
365,6,Passenger air transport,5110
355,6,"Passenger rail transport, interurban",4910
366,6,Freight air transport,5121
206,6,Manufacture of other transport equipment n.e.c.,3099
456,6,Renting and leasing of office machinery and equipment (including computers),7733
485,6,Public order and safety activities,8424
484,6,Justice and judicial activities,8423
483,6,Regulation of and contribution to more efficient operation of businesses,8413
36,6,Support activities for other mining and quarrying,0990
482,6,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",8412
481,6,General public administration activities,8411
459,6,"Leasing of intellectual property and similar products, except copyrighted works",7740
457,6,Renting and leasing of air transport equipment,7735
453,6,Renting and leasing of other personal and household goods,7729
451,6,Renting and leasing of recreational and sports goods,7721
430,6,Legal activities,6910
349,7,Retail sale of second-hand goods in stores,4779
340,7,Retail sale of games and toys in specialised stores,4765
335,7,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",4759
336,7,Retail sale of books in specialised stores,4761
320,7,Retail sale of fruit and vegetables in specialised stores,4721
337,7,Retail sale of newspapers and stationery in specialised stores,4762
348,7,Other retail sale of new goods in specialised stores,4778
347,7,Retail sale of watches and jewellery in specialised stores,4777
344,7,Retail sale of medical and orthopaedic goods in specialised stores,4774
342,7,Retail sale of footwear and leather goods in specialised stores,4772
339,7,Retail sale of sporting equipment in specialised stores,4764
285,7,"Wholesale of dairy products, eggs and edible oils and fats",4633
276,7,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",4616
326,7,Other retail sale of food in specialised stores,4729
341,7,Retail sale of clothing in specialised stores,4771
350,7,"Retail sale via stalls and markets of food, beverages and tobacco products",4781
352,7,Retail sale via stalls and markets of other goods,4789
354,7,"Other retail sale not in stores, stalls or markets",4799
379,7,Restaurants and mobile food service activities,5610
380,7,Event catering activities,5621
381,7,Other food service activities,5629
351,7,"Retail sale via stalls and markets of textiles, clothing and footwear",4782
512,8,Operation of arts facilities,9004
525,8,Activities of professional membership organisations,9412
524,8,Activities of business and employers membership organisations,9411
523,8,Other amusement and recreation activities,9329
522,8,Activities of amusement parks and theme parks,9321
527,8,Activities of religious organisations,9491
393,8,Motion picture projection activities,5914
528,8,Activities of political organisations,9492
529,8,Activities of other membership organisations n.e.c.,9499
517,8,Gambling and betting activities,9200
526,8,Activities of trade unions,9420
244,9,Construction of residential and non-residential buildings,4120
245,9,Construction of roads and motorways,4211
246,9,Construction of railways and underground railways,4212
261,9,Painting and glazing,4334
263,9,Roofing activities,4391
262,9,Other building completion and finishing,4339
260,9,Floor and wall covering,4333
259,9,Joinery installation,4332
258,9,Plastering,4331
257,9,Other construction installation,4329
256,9,"Plumbing, heat and air-conditioning installation",4322
255,9,Electrical installation,4321
254,9,Test drilling and boring,4313
253,9,Site preparation,4312
252,9,Demolition,4311
251,9,Construction of other civil engineering projects n.e.c.,4299
250,9,Construction of water projects,4291
264,9,Other specialised construction activities n.e.c.,4399
249,9,Construction of utility projects for electricity and telecommunications,4222
247,9,Construction of bridges and tunnels,4213
195,10,Manufacture of other special-purpose machinery n.e.c.,2899
119,10,Manufacture of refractory products,2320
213,10,Manufacture of musical instruments,3220
183,10,Manufacture of office machinery and equipment (except computers and peripheral equipment),2823
211,10,Manufacture of jewellery and related articles,3212
218,10,Other manufacturing n.e.c.,3299
134,10,Cold drawing of wire,2434
217,10,Manufacture of brooms and brushes,3291
193,10,Manufacture of machinery for paper and paperboard production,2895
216,10,Manufacture of medical and dental instruments and supplies,3250
215,10,Manufacture of games and toys,3240
192,10,"Manufacture of machinery for textile, apparel and leather production",2894
214,10,Manufacture of sports goods,3230
212,10,Manufacture of imitation jewellery and related articles,3213
346,11,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",4776
343,11,Dispensing chemist in specialised stores,4773
382,11,Beverage serving activities,5630
333,11,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",4753
332,11,"Retail sale of hardware, paints and glass in specialised stores",4752
540,11,Funeral and related activities,9603
327,11,Retail sale of automotive fuel in specialised stores,4730
539,11,Hairdressing and other beauty treatment,9602
127,11,"Manufacture of other articles of concrete, plaster and cement",2369
28,11,Mining of hard coal,0510
319,11,Other retail sale in non-specialised stores,4719
321,11,Retail sale of meat and meat products in specialised stores,4722
318,11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",4711
47,11,Manufacture of bread; manufacture of fresh pastry goods and cakes,1071
323,11,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",4724
288,11,Wholesale of sugar and chocolate and sugar confectionery,4636
128,11,"Cutting, shaping and finishing of stone",2370
420,12,Security and commodity contracts brokerage,6612
422,12,Risk and damage evaluation,6621
419,12,Administration of financial markets,6611
418,12,Pension funding,6530
417,12,Reinsurance,6520
416,12,Non-life insurance,6512
415,12,Life insurance,6511
424,12,Other activities auxiliary to insurance and pension funding,6629
425,12,Fund management activities,6630
421,12,"Other activities auxiliary to financial services, except insurance and pension funding",6619
423,12,Activities of insurance agents and brokers,6622
521,13,Other sports activities,9319
280,13,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",4621
448,13,Veterinary activities,7500
473,13,Landscape service activities,8130
310,13,"Wholesale of solid, liquid and gaseous fuels and related products",4671
518,13,Operation of sports facilities,9311
271,13,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",4611
303,13,"Wholesale of agricultural machinery, equipment and supplies",4661
282,13,Wholesale of live animals,4623
519,13,Activities of sport clubs,9312
530,14,Repair of computers and peripheral equipment,9511
431,14,"Accounting, bookkeeping and auditing activities; tax consultancy",6920
538,14,Washing and (dry-)cleaning of textile and fur products,9601
466,14,Private security activities,8010
467,14,Security systems service activities,8020
468,14,Investigation activities,8030
301,14,"Wholesale of computers, computer peripheral equipment and software",4651
498,14,General medical practice activities,8621
541,14,Physical well-being activities,9604
500,14,Dental practice activities,8623
501,14,Other human health activities,8690
520,14,Fitness facilities,9313
497,14,Hospital activities,8610
499,14,Specialist medical practice activities,8622
542,14,Other personal service activities n.e.c.,9609
234,15,"Water collection, treatment and supply",3600
436,15,Engineering activities and related technical consultancy,7112
437,15,Technical testing and analysis,7120
248,15,Construction of utility projects for fluids,4221
103,16,"Manufacture of soap and detergents, cleaning and polishing preparations",2041
98,16,Manufacture of other organic basic chemicals,2014
97,16,Manufacture of other inorganic basic chemicals,2013
105,16,Manufacture of glues,2052
107,16,Manufacture of other chemical products n.e.c.,2059
108,16,Manufacture of man-made fibres,2060
95,16,Manufacture of refined petroleum products,1920
109,16,Manufacture of basic pharmaceutical products,2110
314,16,Wholesale of chemical products,4675
102,16,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2030
104,16,Manufacture of perfumes and toilet preparations,2042
130,16,Manufacture of other non-metallic mineral products n.e.c.,2399
273,16,Agents involved in the sale of timber and building materials,4613
110,16,Manufacture of pharmaceutical preparations,2120
375,17,Hotels and similar accommodation,5510
376,17,Holiday and other short stay accommodation,5520
377,17,"Camping grounds, recreational vehicle parks and trailer parks",5530
378,17,Other accommodation,5590
57,17,"Distilling, rectifying and blending of spirits",1101
58,17,Manufacture of cider and other fruit wines,1103
59,17,Manufacture of beer,1105
143,18,Manufacture of metal structures and parts of structures,2511
159,18,Manufacture of other fabricated metal products n.e.c.,2599
182,18,Manufacture of lifting and handling equipment,2822
177,18,Manufacture of fluid power equipment,2812
144,18,Manufacture of doors and windows of metal,2512
188,18,Manufacture of other machine tools,2849
184,18,Manufacture of non-domestic cooling and ventilation equipment,2825
219,18,Repair of fabricated metal products,3311
220,18,Repair of machinery,3312
150,18,Treatment and coating of metals,2561
153,18,Manufacture of locks and hinges,2572
186,18,Manufacture of agricultural and forestry machinery,2830
151,18,Machining,2562
190,18,"Manufacture of machinery for mining, quarrying and construction",2892
146,18,"Manufacture of other tanks, reservoirs and containers of metal",2529
185,18,Manufacture of other general-purpose machinery n.e.c.,2829
277,19,"Agents involved in the sale of food, beverages and tobacco",4617
278,19,Agents specialised in the sale of other particular products,4618
279,19,Agents involved in the sale of a variety of goods,4619
281,19,Wholesale of flowers and plants,4622
275,19,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",4615
317,19,Non-specialised wholesale trade,4690
283,19,Wholesale of fruit and vegetables,4631
306,19,Wholesale of machinery for the textile industry and of sewing and knitting machines,4664
284,19,Wholesale of meat and meat products,4632
286,19,Wholesale of beverages,4634
298,19,"Wholesale of furniture, carpets and lighting equipment",4647
289,19,"Wholesale of coffee, tea, cocoa and spices",4637
291,19,"Non-specialised wholesale of food, beverages and tobacco",4639
292,19,Wholesale of textiles,4641
293,19,Wholesale of clothing and footwear,4642
294,19,Wholesale of electrical household appliances,4643
313,19,"Wholesale of hardware, plumbing and heating equipment and supplies",4674
296,19,Wholesale of perfume and cosmetics,4645
297,19,Wholesale of pharmaceutical goods,4646
300,19,Wholesale of other household goods,4649
324,19,Retail sale of beverages in specialised stores,4725
299,19,Wholesale of watches and jewellery,4648
287,19,Wholesale of tobacco products,4635
325,19,Retail sale of tobacco products in specialised stores,4726
308,19,Wholesale of other office machinery and equipment,4666
328,19,"Retail sale of computers, peripheral units and software in specialised stores",4741
329,19,Retail sale of telecommunications equipment in specialised stores,4742
331,19,Retail sale of textiles in specialised stores,4751
452,19,Renting of video tapes and disks,7722
353,19,Retail sale via mail order houses or via Internet,4791
334,19,Retail sale of electrical household appliances in specialised stores,4754
345,19,Retail sale of cosmetic and toilet articles in specialised stores,4775
338,19,Retail sale of music and video recordings in specialised stores,4763
307,19,Wholesale of office furniture,4665
40,20,"Processing and preserving of fish, crustaceans and molluscs",1020
290,20,"Wholesale of other food, including fish, crustaceans and molluscs",4638
24,20,Marine fishing,0311
26,20,Marine aquaculture,0321
25,20,Freshwater fishing,0312
322,20,"Retail sale of fish, crustaceans and molluscs in specialised stores",4723
27,20,Freshwater aquaculture,0322
168,21,Manufacture of optical instruments and photographic equipment,2670
166,21,Manufacture of watches and clocks,2652
536,21,"Repair of watches, clocks and jewellery",9525
221,21,Repair of electronic and optical equipment,3313
204,21,Manufacture of motorcycles,3091
156,22,Manufacture of light metal packaging,2592
194,22,Manufacture of plastics and rubber machinery,2896
191,22,"Manufacture of machinery for food, beverage and tobacco processing",2893
111,22,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,2211
180,22,"Manufacture of bearings, gears, gearing and driving elements",2815
179,22,Manufacture of other taps and valves,2814
178,22,Manufacture of other pumps and compressors,2813
176,22,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2811
112,22,Manufacture of other rubber products,2219
181,22,"Manufacture of ovens, furnaces and furnace burners",2821
475,23,"Photocopying, document preparation and other specialised office support activities",8219
476,23,Activities of call centres,8220
477,23,Convention and trade show organizers,8230
478,23,Activities of collection agencies and credit bureaus,8291
480,23,Other business support service activities n.e.c.,8299
474,23,Combined office administrative service activities,8211
454,24,Renting and leasing of agricultural machinery and equipment,7731
0,24,"Growing of cereals (except rice), leguminous crops and oil seeds",0111
7,24,Growing of other perennial crops,0129
6,24,Growing of other tree and bush fruits and nuts,0125
5,24,Growing of pome fruits and stone fruits,0124
8,24,Plant propagation,0130
11,24,Raising of horses and other equines,0143
13,24,Raising of swine/pigs,0146
18,24,Support activities for animal production,0162
20,24,"Hunting, trapping and related service activities",0170
4,24,Growing of grapes,0121
1,24,"Growing of vegetables and melons, roots and tubers",0113
2,24,Growing of fibre crops,0116
3,24,Growing of other non-perennial crops,0119
487,25,Primary education,8520
496,25,Educational support activities,8560
494,25,Driving school activities,8553
493,25,Cultural education,8552
495,25,Other education n.e.c.,8559
492,25,Sports and recreation education,8551
488,25,General secondary education,8531
489,25,Technical and vocational secondary education,8532
486,25,Pre-primary education,8510
491,25,Tertiary education,8542
490,25,Post-secondary non-tertiary education,8541
44,26,Operation of dairies and cheese making,1051
42,26,Other processing and preserving of fruit and vegetables,1039
41,26,Processing and preserving of potatoes,1031
38,26,Processing and preserving of poultry meat,1012
19,26,Post-harvest crop activities,0163
37,26,Processing and preserving of meat,1011
46,26,Manufacture of grain mill products,1061
45,26,Manufacture of ice cream,1052
56,26,Manufacture of prepared pet foods,1092
55,26,Manufacture of prepared feeds for farm animals,1091
39,26,Production of meat and poultry meat products,1013
199,27,Manufacture of other parts and accessories for motor vehicles,2932
196,27,Manufacture of motor vehicles,2910
197,27,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2920
198,27,Manufacture of electrical and electronic equipment for motor vehicles,2931
66,28,Manufacture of carpets and rugs,1393
69,28,Manufacture of other technical and industrial textiles,1396
67,28,"Manufacture of cordage, rope, twine and netting",1394
70,28,Manufacture of other textiles n.e.c.,1399
68,28,"Manufacture of non-wovens and articles made from non-wovens, except apparel",1395
71,28,Manufacture of leather clothes,1411
77,28,Manufacture of other knitted and crocheted apparel,1439
76,28,Manufacture of knitted and crocheted hosiery,1431
75,28,Manufacture of other wearing apparel and accessories,1419
74,28,Manufacture of underwear,1414
63,28,Finishing of textiles,1330
61,28,Preparation and spinning of textile fibres,1310
62,28,Weaving of textiles,1320
72,28,Manufacture of workwear,1412
73,28,Manufacture of other outerwear,1413
64,28,Manufacture of knitted and crocheted fabrics,1391
65,28,"Manufacture of made-up textile articles, except apparel",1392
149,29,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2550
187,29,Manufacture of metal forming machinery,2841
131,29,Manufacture of basic iron and steel and of ferro-alloys,2410
132,29,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",2420
158,29,Manufacture of fasteners and screw machine products,2594
157,29,"Manufacture of wire products, chain and springs",2593
154,29,Manufacture of tools,2573
145,29,Manufacture of central heating radiators and boilers,2521
136,29,Aluminium production,2442
455,30,Renting and leasing of construction and civil engineering machinery and equipment,7732
270,30,"Sale, maintenance and repair of motorcycles and related parts and accessories",4540
269,30,Retail trade of motor vehicle parts and accessories,4532
268,30,Wholesale trade of motor vehicle parts and accessories,4531
267,30,Maintenance and repair of motor vehicles,4520
266,30,Sale of other motor vehicles,4519
265,30,Sale of cars and light motor vehicles,4511
449,30,Renting and leasing of cars and light motor vehicles,7711
458,30,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",7739
450,30,Renting and leasing of trucks,7712
434,31,Business and other management consultancy activities,7022
432,31,Activities of head offices,7010
433,31,Public relations and communication activities,7021
441,31,Advertising agencies,7311
442,31,Media representation,7312
443,31,Market research and public opinion polling,7320
383,32,Book publishing,5811
94,32,Reproduction of recorded media,1820
388,32,Publishing of computer games,5821
387,32,Other publishing activities,5819
389,32,Other software publishing,5829
385,32,Publishing of newspapers,5813
386,32,Publishing of journals and periodicals,5814
440,33,Research and experimental development on social sciences and humanities,7220
439,33,Other research and experimental development on natural sciences and engineering,7219
438,33,Research and experimental development on biotechnology,7211
9,34,Raising of dairy cattle,0141
10,34,Raising of other cattle and buffaloes,0142
14,34,Raising of poultry,0147
16,34,Mixed farming,0150
12,34,Raising of sheep and goats,0145
17,34,Support activities for crop production,0161
15,34,Raising of other animals,0149
463,35,Travel agency activities,7911
465,35,Other reservation service and related activities,7990
464,35,Tour operator activities,7912
367,36,Warehousing and storage,5210
368,36,Service activities incidental to land transportation,5221
369,36,Service activities incidental to water transportation,5222
371,36,Cargo handling,5224
372,36,Other transportation support activities,5229
370,36,Service activities incidental to air transportation,5223
21,37,Silviculture and other forestry activities,0210
22,37,Logging,0220
23,37,Support services to forestry,0240
534,38,Repair of footwear and leather goods,9523
80,38,Manufacture of footwear,1520
78,38,Tanning and dressing of leather; dressing and dyeing of fur,1511
79,38,"Manufacture of luggage, handbags and the like, saddlery and harness",1512
123,39,Manufacture of other technical ceramic products,2344
189,39,Manufacture of machinery for metallurgy,2891
147,39,"Manufacture of steam generators, except central heating hot water boilers",2530
152,39,Manufacture of cutlery,2571
242,40,Remediation activities and other waste management services,3900
236,40,Collection of non-hazardous waste,3811
235,40,Sewerage,3700
240,40,Dismantling of wrecks,3831
237,40,Collection of hazardous waste,3812
316,40,Wholesale of waste and scrap,4677
241,40,Recovery of sorted materials,3832
239,40,Treatment and disposal of hazardous waste,3822
238,40,Treatment and disposal of non-hazardous waste,3821
43,41,Manufacture of oils and fats,1041
99,41,Manufacture of fertilisers and nitrogen compounds,2015
106,41,Manufacture of essential oils,2053
101,41,Manufacture of pesticides and other agrochemical products,2020
362,42,Sea and coastal freight water transport,5020
361,42,Sea and coastal passenger water transport,5010
363,42,Inland passenger water transport,5030
364,42,Inland freight water transport,5040
60,43,Manufacture of soft drinks; production of mineral waters and other bottled waters,1107
48,43,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,1072
49,43,"Manufacture of cocoa, chocolate and sugar confectionery",1082
50,43,Processing of tea and coffee,1083
51,43,Manufacture of condiments and seasonings,1084
52,43,Manufacture of prepared meals and dishes,1085
53,43,Manufacture of homogenised food preparations and dietetic food,1086
54,43,Manufacture of other food products n.e.c.,1089
398,44,Wireless telecommunications activities,6120
399,44,Satellite telecommunications activities,6130
397,44,Wired telecommunications activities,6110
400,44,Other telecommunications activities,6190
160,45,Manufacture of electronic components,2611
161,45,Manufacture of loaded electronic boards,2612
163,45,Manufacture of communication equipment,2630
167,45,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660
165,45,"Manufacture of instruments and appliances for measuring, testing and navigation",2651
164,45,Manufacture of consumer electronics,2640
162,45,Manufacture of computers and peripheral equipment,2620
169,46,"Manufacture of electric motors, generators and transformers",2711
170,46,Manufacture of electricity distribution and control apparatus,2712
171,46,Manufacture of other electronic and electric wires and cables,2732
172,46,Manufacture of electric lighting equipment,2740
173,46,Manufacture of electric domestic appliances,2751
174,46,Manufacture of non-electric domestic appliances,2752
175,46,Manufacture of other electrical equipment,2790
401,47,Computer programming activities,6201
403,47,Computer facilities management activities,6203
404,47,Other information technology and computer service activities,6209
402,47,Computer consultancy activities,6202
470,48,General cleaning of buildings,8121
472,48,Other cleaning activities,8129
471,48,Other building and industrial cleaning activities,8122
469,48,Combined facilities support activities,8110
409,49,Other monetary intermediation,6419
429,49,Management of real estate on a fee or contract basis,6832
428,49,Real estate agencies,6831
413,49,Other credit granting,6492
411,49,"Trusts, funds and similar financial entities",6430
412,49,Financial leasing,6491
414,49,"Other financial service activities, except insurance and pension funding, n.e.c.",6499
410,49,Activities of holding companies,6420
356,50,Urban and suburban passenger land transport,4931
357,50,Taxi operation,4932
358,50,Other passenger land transport n.e.c.,4939
359,50,Freight transport by road,4941
360,50,Removal services,4942
515,51,Operation of historical sites and buildings and similar visitor attractions,9103
514,51,Museum activities,9102
513,51,Library and archive activities,9101
516,51,Botanical and zoological gardens and nature reserve activities,9104
225,52,Repair and maintenance of transport equipment n.e.c.,3317
202,52,Manufacture of railway locomotives and rolling stock,3020
232,53,Distribution of gaseous fuels through mains,3522
230,53,Distribution of electricity,3513
228,53,Production of electricity,3511
229,53,Transmission of electricity,3512
231,53,Trade of electricity,3514
224,54,Repair and maintenance of aircraft and spacecraft,3316
203,54,Manufacture of air and spacecraft and related machinery,3030
461,55,Temporary employment agency activities,7820
462,55,Other human resources provision,7830
460,55,Activities of employment placement agencies,7810
396,56,Television programming and broadcasting activities,6020
394,56,Sound recording and music publishing activities,5920
392,56,"Motion picture, video and television programme distribution activities",5913
390,56,"Motion picture, video and television programme production activities",5911
391,56,"Motion picture, video and television programme post-production activities",5912
395,56,Radio broadcasting,6010
116,57,Manufacture of other plastic products,2229
115,57,Manufacture of buildersï¿½ ware of plastic,2223
114,57,Manufacture of plastic packing goods,2222
113,57,"Manufacture of plastic plates, sheets, tubes and profiles",2221
100,57,Manufacture of plastics in primary forms,2016
29,58,Extraction of crude petroleum,0610
35,58,Support activities for petroleum and natural gas extraction,0910
30,58,Extraction of natural gas,0620
126,59,Manufacture of ready-mixed concrete,2363
33,59,Extraction of peat,0892
125,59,Manufacture of concrete products for construction purposes,2361
34,59,Other mining and quarrying n.e.c.,0899
31,59,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",0811
32,59,Operation of gravel and sand pits; mining of clays and kaolin,0812
426,60,Buying and selling of own real estate,6810
427,60,Renting and operating of own or leased real estate,6820
243,60,Development of building projects,4110
133,61,Cold forming or folding,2433
205,61,Manufacture of bicycles and invalid carriages,3092
155,61,Manufacture of steel drums and similar containers,2591
223,62,Repair and maintenance of ships and boats,3315
200,62,Building of ships and floating structures,3011
201,62,Building of pleasure and sporting boats,3012
502,63,Residential nursing care activities,8710
503,63,"Residential care activities for learning disabilities, mental health and substance abuse",8720
504,63,Residential care activities for the elderly and disabled,8730
505,63,Other residential care activities,8790
506,63,Social work activities without accommodation for the elderly and disabled,8810
507,63,Child day-care activities,8891
508,63,Other social work activities without accommodation n.e.c.,8899
